Date,Open,High,Low,Close,Volume
2005-01-03,41.42438113257051,41.77843567216513,41.07032659297589,41.243812561035156,6000
2005-01-04,43.902738533814855,43.902738533814855,40.716249446683136,41.08092498779297,3870
2005-01-05,40.66314686745424,41.28274206086714,38.94598358595403,39.342525482177734,11000
2005-01-06,38.30867328205077,38.94597208760868,38.23786350419762,38.27680969238281,34000
2005-01-07,38.38303136160161,38.733544393327165,37.52975912638768,38.22370529174805,15000
2005-01-10,38.945982630604526,38.945982630604526,38.23787385550263,38.28744125366211,4000
2005-01-11,36.60921886896392,38.23432697401095,36.60921886896392,37.27838134765625,12000
2005-01-12,37.175709847389676,37.88381860638758,35.60016893910757,37.32795333862305,22000
2005-01-13,37.52976974816823,37.52976974816823,37.17571531658174,37.186336517333984,17000
2005-01-14,37.45898202676881,37.45898202676881,36.821682593696586,37.034114837646484,1430
2005-01-17,38.23788408195383,38.23788408195383,36.96328848613297,37.45896530151367,1690
2005-01-18,37.52976973527268,38.167068792397764,37.52976973527268,37.93339157104492,80000
2005-01-19,37.60057244530138,37.77759962762619,36.89246371600214,36.9030876159668,166000
2005-01-20,37.60057955399715,37.883824179754725,36.82166088499525,37.186336517333984,160000
2005-01-24,36.892470793999465,37.88382428570249,36.680038674697656,37.28193283081055,55830
2005-01-25,36.82872970126935,37.52975845336914,36.821649803305576,37.52975845336914,20000
2005-01-27,37.175699910841466,40.787052535978134,36.82164562597631,39.60097122192383,25000
2005-01-28,38.34408123488333,38.94597245598791,36.828726583025635,38.138729095458984,22000
2005-01-31,38.94597596349414,40.255975892687246,38.94597596349414,39.00616455078125,11000
2005-02-01,38.87518339706242,38.87518339706242,37.742207428305605,37.88737106323242,9550
2005-02-02,38.30867335155844,38.945972158272674,38.30867335155844,38.6025390625,31000
2005-02-03,38.62733962778966,39.30004361733969,38.62733962778966,38.96015167236328,5000
2005-02-04,38.280363272179144,38.94598458168114,38.280363272179144,38.910579681396484,7000
2005-02-07,38.59193769991607,39.51247879288082,38.25558702980898,38.65212631225586,3300
2005-02-08,38.94597567056945,39.65408431912526,38.94597567056945,39.06635284423828,4820
2005-02-09,39.65055065503783,39.65055065503783,39.05928046792581,39.3071174621582,10750
2005-02-10,39.65054072554362,39.65408202492315,38.80435115557366,38.850379943847656,6550
2005-02-11,39.654098062147455,40.008152509130916,38.804366849142944,39.370853424072266,26000
2005-02-14,39.65410167490513,41.417294170058824,39.65410167490513,40.195804595947266,42000
2005-02-15,46.09788227781156,48.23637390136719,43.55931285176498,48.23637390136719,1879000
